Disease,Description
autism spectrum disorder,"A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has_symptom widespread abnormalities of social interactions and communication, has_symptom severely restricted interests and has_symptom highly repetitive behavior."
autistic disorder,"An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication, social, restricted repetitive interests and behaviors), delayed language development, and symptom onset prior to age 3 years."
autoimmune disease of endocrine system,A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system resulting in production of antibodies or T cells against cells and/or tissues in the endocrine system.
autoimmune disease of gastrointestinal tract,A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the gastrointestinal tract.
autoimmune disease of the nervous system,
autoimmune disease of urogenital tract,A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the urogenital tract.
autonomic nervous system neoplasm,A peripheral nervous system neoplasm that is located_in the autonomic nervous system.
autosomal dominant disease,An autosomal genetic disease that is characterized by the presence of one disease-associated mutation of a gene which is sufficient to cause the disease.
autosomal genetic disease,A monogenic disease that is caused by a mutation in a single gene on one of the non-sex chromosomes.
autosomal recessive disease,"An autosomal genetic disease that is characterized by the presence of two mutated copies of the gene, both of which must be present in order for the disease or trait to develop."
azoospermia,A male infertility disease characterized by the absence of any measurable level of sperm in semen.
b cell deficiency,A primary immunnodeficiency disease that is caused by a lack of infection-fighting antibody producing B cells (immunoglobulins) or B cells that are not functioning properly.
b-cell lymphoma,A non-Hodgkin lymphoma that has_material_basis_in B cells.
bacterial gastritis,"A gastritis that involves inflammation of the stomach lining caused by bacteria. The disease has_symptom abdominal pain, has_symptom indigestion, has_symptom ulcer formation, has_symptom abdominal bloating, has_symptom nausea and has_symptom vomiting."
bacterial infectious disease,"A disease by infectious agent that results_in infection, has_material_basis_in Bacteria."
barrett's esophagus,
basal cell carcinoma,A skin carcinoma affecting basal cells.
basal ganglia disease,
behcet's disease,"A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals, notorious for causing hypopyon uveitis."
benign neoplasm,A disease of cellular proliferation that results in abnormal growths in the body which lack the ability to metastasize.
beta thalassemia,A thalassemia characterized by the reduced or absent synthesis of the beta globin chains of hemoglobin.
bile duct disease,
biliary atresia,A cholestasis characterized by blockage of the ducts that carry bile from the liver to the gallbladder.
biliary tract cancer,A gastrointestinal system cancer that results_in malignant growth located_in the gallbladder or located_in the bile duct.
biliary tract disease,
bilirubin metabolic disorder,An inherited metabolic disorder that involves elevated levels of bilirubin resulting from disruption of bilirubin metabolism.
bipolar disorder,A mood disorder that involves alternating periods of mania and depression.
bladder carcinoma,A urinary bladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
blood coagulation disease,
blood platelet disease,
blood protein disease,
bone cancer,A connective tissue cancer that is located_in bone and is characterized by uncontrolled cellular proliferation that destroys normal bone tissue.
bone deterioration disease,A bone structure disease that results_in change or damage of structure located_in bone.
bone development disease,A bone disease that results_in abnormal growth and development located_in bone or located_in cartilage.
bone disease,A connective tissue disease that affects the structure or development of bone or causes an impairment of normal bone function.
bone inflammation disease,A bone disease that results_in inflammation of the located_in bone.
bone marrow cancer,A hematopoietic cancer that derives_from the blood-forming stem cells of the bone marrow.
bone marrow disease,
bone remodeling disease,A bone disease that results_in formation or resorption abnormalities located_in bone.
bone resorption disease,A bone remodeling disease that results in an abnormal decrease of bone density or mass.
bone structure disease,A bone disease that has_material_basis_in an abnormality in the location or function of the skeletal structure.
borderline personality disorder,A personality disorder that involves a prolonged disturbance of personality function characterized by depth and variability of moods.
brain cancer,A central nervous system cancer that is characterized by the growth of abnormal cells in the tissues of the brain.
brain disease,
brain glioma,A brain cancer that has_material_basis_in glial cells.
brain ischemia,
breast cancer,A thoracic cancer that originates in the mammary gland.
bronchial disease,"A lower respiratory tract disease that affects the airways leading into the lungs, which is caused due to inflammation of the bronchi and bronchioles, infection, or blockage."
brugada syndrome,A heart conduction disease that is characterized by abnormal electrocardiogram (ECG) findings and an increased risk of sudden cardiac death.
bulimia nervosa,An eating disorder characterized by the restraining of food intake for a period of time followed by an over intake or binging period that results in feelings of guilt and low self-esteem.
bullous skin disease,"An autoimmune disease of skin and connective tissue that is characterized by blisters filled with a watery fluid, located_in skin. The disease is associated with the amount of gluten ingested."
calcium metabolism disease,
cancer,"A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis."
cannabis abuse,A substance abuse that involves the recurring use of cannabis despite negative consequences.
carbohydrate metabolism disease,An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.
carcinoma,A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
,
cardiomyopathy,A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
cardiovascular system disease,"A disease of anatomical entity which occurs in the blood, heart, blood vessels or the lymphatic system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells or lymph to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."
carotid artery disease,
cataract,A lens disease characterized by clouding of the lens inside the eye which leads to a decrease in vision.
celiac disease,"An autoimmune disease of gastrointestinal tract that is caused by a reaction located_in small intestine to gliadin, a prolamin (gluten protein) found in wheat, and similar proteins found in the crops of the tribe Triticeae. The disease is associated with HLA-DQ gene. It has_symptom abdominal pain, has_symptom constipation, has_symptom diarrhea, has_symptom nausea and vomiting, and has_symptom loss of appetite."
cell type cancer,A cancer that is classified by the type of cell from which it is derived.
central nervous system cancer,A nervous system cancer that is located_in the central nervous system.
central nervous system disease,A nervous system disease that affects either the spinal cord (myelopathy) or brain (encephalopathy) of the central nervous system.
cerebral arterial disease,
cerebrovascular disease,An artery disease that is characterized by dysfunction of the blood vessels supplying the brain.
cervical cancer,A female reproductive organ cancer that is located_in the cervix.
cholangitis,A bile duct disease that is an inflammation of the bile duct.
cholecystolithiasis,
cholestasis,
cholesterol embolism,A vascular disease that is characterized by blood vessel obstruction resulting from the release of cholesterol from the inside of blood vessels along the bloodstream.
cholesterol ester storage disease,
chromosomal disease,"A genetic disease that has_material_basis_in extra, missing, or re-arranged chromosomes."
chronic fatigue syndrome,"A syndrome that involves prolonged and severe tiredness or weariness that is unrelated to exertion, is not relieved by rest and for a minimum of six months and is not directly caused by other conditions."
chronic kidney failure,
chronic lymphocytic leukemia,A lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood.
chronic myeloid leukemia,A myeloid leukemia that is characterized by over production of white blood cells.
chronic myeloproliferative disease,"A myeloma that is characterized by a group of slow growing blood cancers in which large numbers of abnormal red blood cells, white blood cells, or platelets grow and spread in the bone marrow and the peripheral blood."
chronic obstructive pulmonary disease,
cleft lip,
cocaine dependence,A drug dependence that is a psychological dependency on the regular use of cocaine.
cognitive disorder,"A disease of mental health that affects cognitive functions including memory processing, perception and problem solving."
colitis,An inflammatory bowel disease that involves inflammation located_in colon.
collagen disease,
colon cancer,A colorectal cancer that is located_in the colon.
colonic disease,
colorectal cancer,A large intestine cancer that is located_in the colon and/or located_in the rectum.
commensal bacterial infectious disease,"A bacterial infectious disease that results_in infection by bacteria which are part of the normal human flora when one or more of the defense mechanisms designed to restrict them from the usually sterile internal tissues are breached by accident, by intent (surgery), or by an underlying metabolic or an infectious disorder."
common variable immunodeficiency,A hypogammaglobulinemia that is results in insufficient production of antibodies needed to respond to exposure of pathogens and is characterized by low Ig levels with phenotypically normal B cells that can proliferate but do not develop into Ig-producing cells. Patients with common variable immunodeficiency have marked reduction in serum levels of both immunoglobulin G (IgG) and immunoglobulin A (IgA); about half of these patients also have reduced immunoglobulin M (IgM).
communication disorder,A specific developmental disorder that involves specific developmental disorders of speech and language.
complement deficiency,"A primary immunodeficiency disease that is the result in a mutation of a gene encoding one of the thirty complement system proteins, produced predominantly in liver, which function to defend against infection and produce inflammation."
conduct disorder,A specific developmental disorder marked by a pattern of repetitive behavior wherein the rights of others or social norms are violated.
congenital heart disease,OMIM mapping confirmed by DO. [SN].
congenital hemolytic anemia,
congestive heart failure,A heart disease that is characterized by any structural or functional cardiac disorder that impairs the ability of the heart to fill with or pump a sufficient amount of blood throughout the body.
connective tissue cancer,A musculoskeletal system cancer that is located_in connective tissue.
connective tissue disease,"A musculoskeletal system disease that affects tissues such as skin, tendons, and cartilage."
contact dermatitis,
corneal disease,
corneal dystrophy,
coronary artery disease,An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.
coronary thrombosis,
cranial nerve disease,A neuropathy that is located_in one of the twelve cranial nerves.
craniosynostosis,A synostosis that results_in premature fusion located_in skull.
creutzfeldt-jakob disease,OMIM mapping confirmed by DO. [SN].
crohn's disease,An intestinal disease that involves inflammation located_in intestine.
cystic fibrosis,"An autosomal recessive disease that is characterized by the buildup of thick, sticky mucus that can damage many organs."
degeneration of macula and posterior pole,
dementia,"A cognitive disorder resulting from a loss of brain function affecting memory, thinking, language, judgement and behavior."
demyelinating disease,
dengue disease,"A viral infectious disease that results_in infection, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom severe headache, has_symptom severe pain behind the eyes, has_symptom joint pain, has_symptom muscle and bone pain, has_symptom rash, and has_symptom mild bleeding."
dental caries,
dermatitis,"A skin disease characterized by itchy, erythematous, vesicular, weeping and crusting patches of skin."
dermatomyositis,A myositis that results_in inflammation located_in muscle or located_in skin where a skin rash is often seen prior to the onset of muscle weakness. The disease may result from either a viral infection or an autoimmune reaction.
developmental disorder of mental health,A disease of mental health that occur during a child's developmental period between birth and age 18 resulting in retarding of the child's psychological or physical development.
diabetes mellitus,
,
diabetic retinopathy,
diarrhea,"A gastrointestinal system disease described as the condition of having frequent loose or liquid bowel movements. Acute diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide. The loss of fluids through diarrhea can cause severe dehydration which is one cause of death in diarrhea sufferers. Along with water, sufferers also lose dangerous amounts of important salts, electrolytes, and other nutrients. There are at least four types of diarrhea: secretory diarrhea, osmotic diarrhea, motility-related diarrhea, and inflammatory diarrhea."
dilated cardiomyopathy,An intrinsic cardiomyopathy that results in damage to the myocardium causing the heart to pump blood inefficiently and characterized by an enlarged heart.
disease,A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.
disease by infectious agent,"A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions."
disease of anatomical entity,A disease that manifests in a defined anatomical structure.
disease of cellular proliferation,A disease that is characterized by abnormally rapid cell division.
disease of mental health,"A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture."
disease of metabolism,A disease that involving errors in metabolic processes of building or degradation of molecules.
drug dependence,A substance dependence that involves the continued use of drugs despite problems related to use of the substance.
drug psychosis,
drug-induced hepatitis,
drug-induced mental disorder,
duodenal ulcer,Adding UMLS CUI for Curling Ulcer C0013295.
dysgammaglobulinemia,A selective immunoglobulin deficiency disease that is caused by a reduction in some types of gamma globulins.
dyslexia,A reading disorder resulting from a developmental reading disability involving the inability to process graphic symbols resulting in impairment of reading ability.
dysostosis,A bone development disease that results_in defective ossification of located_in bone.
eating disorder,A specific developmental disorder that is characterized by abnormal eating habits that may involve either insufficient or excessive food intake to the detriment of an individual's physical and emotional health.
elephantiasis,
end stage renal failure,
endocrine gland cancer,An organ system cancer located_in endocrine system that is characterized by uncontrolled cellular proliferation of the hormone producing glands of the endocrine system.
endocrine system disease,A disease of anatomical entity that is located_in endocrine glands which secretes a type of hormone directly into the bloodstream to regulate the body.
endogenous depression,A mental depression that is characterized by a dysregulation of the endogenous opioid system and not of the monaminergic system.
endometrial cancer,A uterine cancer that is located_in tissues lining the uterus.
endometrial carcinoma,A endometrial cancer that is located_in the tissue lining the uterus.
endometriosis,
eosinophilia,
eosinophilic esophagitis,An esophagitis characterized by inflammation involving eosinophils located_in esophagus.
epilepsy syndrome,"A brain disease that is characterized by the occurrance of at least two unprovoked seizures resulting from a persistent epileptogenic abnormality of the brain that is able to spontaneously generate paroxysmal activity and typically manifested by sudden brief episodes of altered or diminished consciousness, involuntary movements, or convulsions."
epstein-barr virus hepatitis,"A viral hepatitis that results_in inflammation, located_in liver, has_material_basis_in Human herpesvirus 4 and has_symptom headache, has_symptom fatigue, has_symptom fever, has_symptom abdominal pain, has_symptom nausea, and has_symptom jaundice."
esophageal cancer,A gastrointestinal system cancer that is located_in the esophagus.
esophageal carcinoma,A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
esophageal disease,A gastrointestinal system disease that is located_in the esophagus.
esophagitis,
esophagus squamous cell carcinoma,An esophageal carcinoma that derives_from epithelial squamous cells located_in the esophagus.
essential tremor,"A movement disorder that causes involuntary tremors, especially in the hands. It occurs alone without other neurological signs and symptoms."
exanthem,
exfoliation syndrome,OMIM mapping confirmed by DO. [SN].
eye and adnexa disease,A sensory system disease that is located_in the eye or the adnexa of the eye.
eye disease,An eye and adnexa disease that is located_in the eye.
facial dermatosis,
factor vii deficiency,
factor viii deficiency,"An X-linked disease that has_material_basis_in Factor VIII deficiency, which results in the formation of fibrin deficient clots which makes coagulation much more prolonged. The disease is inherited as an X-linked recessive trait."
familial atrial fibrillation,An atrial fibrillation that has_material_basis_in autosomal dominant inheritance of the familial atrial fibrillation (ATFB) genes.
familial hypertriglyceridemia,A lipid metabolism disorder characterized by elevated triglyceride levels as a result of excess hepatic production of VLDL or heterozygous LPL deficiency.
fatty liver disease,A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
female breast cancer,
female reproductive organ benign neoplasm,
female reproductive organ cancer,"A reproductive organ cancer that is manifested in the female genitals. This includes organs such as the ovaries, fallopian tubes, uterus, cervix, vagina and vulva."
female reproductive system disease,"A reproductive system disease that impairs the ability to reproduce and is located in the uterus, vagina, cervix, ovaries or fallopian tubes."
focal epilepsy,"An epilepsy syndrome that is characterised by seizures that are preceded by an isolated disturbance of a cerebral function and arise from an epileptic focus, a small portion of the brain that serves as the irritant driving the epileptic response."
frontotemporal dementia,A basal ganglia disease characterized by progressive neuronal loss predominantly involving the frontal and/or temporal lobes of the brain resulting in a gradual and progressive decline in behavior or language.
gallbladder cancer,A biliary tract cancer that is located_in the gallbladder.
gallbladder disease,A gastrointestinal system disease that is located_in the gallbladder.
gastric adenocarcinoma,A stomach carcinoma that derives_from epithelial cells of glandular origin.
gastric outlet obstruction,
gastritis,A stomach disease that is an inflammation of the lining of the stomach.
gastrointestinal system benign neoplasm,An organ system benign neoplasm located_in gastrointestinal tract organs.
gastrointestinal system cancer,An organ system cancer located_in gastrointestinal tract that is manifested in organs of the gastrointestinal system.
gastrointestinal system disease,A disease of anatomical entity that is located_in the gastrointestinal tract.
gaucher's disease,"A sphingolipidosis characterized by deficiency of the enzyme glucocerebrosidase which results in the accumulation of harmful quantities of the glycolipid glucocerebroside throughout the body, especially within the bone marrow, spleen and liver."
genetic disease,A disease that has_material_basis_in genetic variations in the human genome.
gestational diabetes,
gilles de la tourette syndrome,A tic disorder that is characterized by multiple physical (motor) tics and at least one vocal (phonic) tic present for more than a year.
glaucoma,
glioblastoma multiforme,"An astrocytoma characterized by the presence of small areas of necrotizing tissue that is surrounded by anaplastic cells as well as the presence of hyperplastic blood vessels, and that has_material_basis_in abnormally proliferating cells derived_from multiple cell types including astrocytes and oligondroctyes."
glomerulonephritis,A nephritis that causes inflammation of the glomeruli located_in kidney.
glucose metabolism disease,
goiter,A thyroid gland disease that involves an abnormal enlargement of the thyroid gland.
gonadal disease,An endocrine system disease that is located_in the gonads.
gonadal dysgenesis,A hypogonadism that is characterized by a progressive loss of germ cells on the developing gonads of an embryo.
gout,An arthritis that has_material_basis_in uric acid crystal deposits located_in joint.
graves' disease,"An autoimmune disease of endocrine system that involves production of excessive amount of thyroid hormones, located_in thyroid gland."
hair disease,An integumentary system disease that is located_in hair.
"hand, foot and mouth disease","A viral infectious disease that results_in infection located_in skin, has_material_basis_in Human coxsackievirus A16 or has_material_basis_in Human enterovirus 71, which are transmitted_by contaminated fomites, and transmitted_by contact with nose and throat secretions, saliva, blister fluid and stool of infected persons. The infection has_symptom fever, has_symptom poor appetite, has_symptom malaise, has_symptom sore throat, has_symptom painful sores in the mouth, and has_symptom skin rash on the palms of the hands and soles of the feet."
head and neck cancer,"An organ system cancer that arises in the head or neck region. This region includes the nasal cavity, sinuses, lips, mouth, salivary glands, throat, or larynx."
heart conduction disease,A cardiovascular system disease that involves the heart's electrical conduction system.
heart disease,A cardiovascular system disease that involves the heart.
heart valve disease,A heart disease involving one or more of the four valves of the heart (the aortic and mitral valves on the left and the pulmonary and tricuspid valves on the right).
hematologic cancer,"An immune system cancer located_in the hematological system that is characterized by uncontrolled cellular proliferation in blood, bone marrow and lymph nodes."
hematopoietic system disease,An immune system disease that has_material_basis_in hematopoietic cells.
hemoglobinopathy,
hemolytic anemia,A type of anemia caused by premature destruction of red blood cells (hemolysis).
hemorrhagic disease,
hemorrhagic thrombocythemia,A chronic myeloproliferative and megakaryocytic tumor and thrombocytosis that is a rare chronic disorder that results_in the overproduction of platelets.
hepatitis,
hepatitis b,"A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis B virus, which is transmitted_by sexual contact, transmitted_by blood transfusions, and transmitted_by fomites like needles or syringes. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice."
hepatitis c,"A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis C virus, which is transmitted_by blood from an infected person enters the body of an uninfected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice."
hepatobiliary disease,A gastrointestinal system disease that is located_in the liver and/or biliary tract.
hepatocellular carcinoma,A liver carcinoma that has_material_basis_in undifferentiated hepatocytes.
heroin dependence,An opiate dependence that involves the continued use of heroin despite problems related to use of the substance.
hirschsprung's disease,A megacolon that is characterized by a blockage of the large intestine due to improper muscle movement in the bowel.
hodgkin's lymphoma,A lymphoma that is marked by the presence of a type of cell called the Reed-Sternberg cell.
human immunodeficiency virus infectious disease,"A viral infectious disease that results_in destruction of immune system, leading to life-threatening opportunistic infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted_by sexual contact, transmitted_by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted_by congenital method, and transmitted_by contaminated needles. The virus infects helper T cells (CD4+ T cells) which are directly or indirectly destroyed, macrophages, and dendritic cells. The infection has_symptom diarrhea, has_symptom fatigue, has_symptom fever, has_symptom vaginal yeast infection, has_symptom headache, has_symptom mouth sores, has_symptom muscle aches, has_symptom sore throat, and has_symptom swollen lymph glands."
hyperostosis,A bone remodeling disease that results in an abnormal growth of located_in bone.
hyperparathyroidism,"A parathyroid gland disease characterized by an overactivity of the parathyroid glands, leading to an excess of parathyroid hormone in the body."
hypersensitivity reaction disease,An immune system disease that is caused by abnormal immune responses.
hypersensitivity reaction type ii disease,An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.
hypersensitivity reaction type iv disease,
hypertension,
hyperthyroidism,A thyroid gland disease that involves an over production of thyroid hormone.
hypertrophic cardiomyopathy,An intrinsic cardiomyopathy that is characterized by abnormal thickening (hypertrophy) of the heart without any obvious cause.
hypertrophic pyloric stenosis,"A pyloric stenosis characterized by the enlargement of the muscle surrounding the pylorus, causing severe projectile non-bilious vomiting."
hypospadias,A physical disorder characterized by an abnormally placed urethral opening on the underside of the penis or on the perineum.
hypothyroidism,A thyroid gland disease which involves an underproduction of thyroid hormone.
hypotrichosis,"A hair disease that is characterized by sparse hair on the scalp resulting from abnormal hair follicle development and has_material_basis in mutations in proteins involved in hair growth, division or proliferation of cells within hair follicles."
idiopathic interstitial pneumonia,A pneumonia located_in the lung parenchyma of unknown cause.
idiopathic pulmonary fibrosis,"An idiopathic interstitial pneumonia which is a distinctive type of chronic fibrosing interstitial pneumonia with thick scarring in the lung creating a honeycomb appearance. The main symptoms start insidiously as shortness of breath on exertion, cough, and diminished stamina. Other common complaints include weight loss and fatigue. The level of oxygen in the blood decreases, and the skin may take on a bluish tinge (called cyanosis) and the ends of the fingers may become thick or club-shape. In most people, symptoms worsen over a period ranging from about 6 months to several years."
iga glomerulonephritis,A glomerulonephritis characterized by build up of IgA antibody in the glomerulus.
ileal neoplasm,
immune system cancer,An organ system cancer located_in the immune system that is characterized by uncontrolled cellular proliferation in organs of the immune system.
immune system disease,A disease of anatomical entity that is located_in the immune system.
immunoglobulin alpha deficiency,A B cell deficiency that is an autosomal recessive disorder caused by mutation in the IgA (CD79 alpha) antigen receptor.
impulse control disorder,A disease of mental health that involves a failure to resist an impulsive act or behaviour that may be harmful to self or others.
inflammatory bowel disease,An intestinal disease characterized by inflammation located_in all parts of digestive tract.
inherited blood coagulation disease,
inherited metabolic disorder,A disease of metabolism that has _material_basis_in enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to inhertied enzyme abnormality.
inner ear disease,
integumentary system cancer,"An organ system cancer that is located_in the skin, hair and nails."
